"IdSistema","Codigo","Nombre","IdZonaGeo","Codigo2","Nombre3","UMonetariaPorDefecto","IdZonaHoraria","IdCiudad","IdZonaGeo4","Codigo5","Nombre6","IdUsuario","Nombre7","IdZonaFisica","IdCiudad8","Codigo9","Nombre10","latitud","Longitud","zoom","IdPqLogico","IdSistema11","IdCiudad12","Direccion","Observaciones","IdZonaFisica13","Maquina","Alias","latitud14","Longitud15","zoom16"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4704","2","1","C/ Tenerife, 41 esquina C/ El Molar, 1","Etra-Normal-Vea","32","7420","106120303","40.452666","-3.70614","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4705","2","1","C/ San Raimundo, 26 esquina C/ Tenerife","Etra-Normal-Vea","32","7421","106120304","40.451822","-3.706153","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4706","2","1","C/ San Raimundo nº16,junto a correos","Etra-Normal-Vea","32","7422","106120305","40.451876","-3.705129","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4707","2","1","C/ Topete, 28 (frente local Telefónica)","Etra-Normal-Vea","32","7423","106120306","40.450702","-3.704562","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4708","2","1","C/Carlos Rubio nº5, pegado a la pared","Etra-Normal-Vea","32","7424","106120307","40.450057","-3.706465","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4709","2","1","C/Carnicer nº12,frente nº9(iglesia)","Etra-Normal-Vea","32","7425","106120308","40.449548","-3.704622","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4710","2","1","C/Tenerife nº9,frente a c/Carnicer","Etra-Normal-Vea","32","7426","106120309","40.449523","-3.705668","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4711","2","1","C/ Aranjuez, 2 esquina C/ Olite, 2","Etra-Normal-Vea","32","7427","106120310","40.449378","-3.707414","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4712","2","1","Avda. Pablo Iglesias nº40 frente entrada a Fremap","Etra-Normal-Vea","32","7428","106120311","40.448564","-3.70906","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4713","2","1","C/Federico Rubio y Galí nº9(frente a panadería)","Etra-Normal-Vea","32","7429","106120312","40.448786","-3.708678","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4714","2","1","Avda. Pablo Iglesias, 46 cruce con C/ Almansa","Etra-Normal-Vea","32","7430","106120314","40.449396","-3.709538","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4715","2","1","C/Aranjuez nº11 frente al nº14","Etra-Normal-Vea","32","7431","106120315","40.449794","-3.708572","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4716","2","1","C/ Abel, 9 esquina C/ Santa Matilde (frente al nº6","Etra-Normal-Vea","32","7432","106120316","40.450151","-3.707913","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4717","2","1","C/ Abel, 24","Etra-Normal-Vea","32","7433","106120317","40.450762","-3.708985","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4718","2","1","C/ Doctor Federico Rubio, 23","Etra-Normal-Vea","32","7434","106120318","40.450662","-3.709578","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4719","2","1","C/ San Rogelio,  7","Etra-Normal-Vea","32","7435","106120319","40.451159","-3.709951","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4720","2","1","C/María Pedraza nº38 esquina c/La Rábida nº6","Etra-Normal-Vea","32","7436","106120320","40.452875","-3.711007","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4721","2","1","C/María Pedraza nº17,frente al nº20","Etra-Normal-Vea","32","7437","106120321","40.45319","-3.709895","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4722","2","1","C/Alejandro Rodríguez nº23 esq.c/Eduardo Adaro nº2","Etra-Normal-Vea","32","7438","106120322","40.454166","-3.710405","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4723","2","1","C/Antonio Gómez Galiana 8 esq.c/Dr.Federico Rubio","Etra-Normal-Vea","32","7439","106120323","40.4524","-3.710596","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4724","2","1","C/ María Pedraza, 2 (frente nº1 esquina droguería)","Etra-Normal-Vea","32","7440","106120324","40.45365","-3.70888","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4725","2","1","C/Juan Pradillo nº6,frente nº1","Etra-Normal-Vea","32","7441","106120325","40.452988","-3.709038","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4726","2","1","C/ Castilla nº49 esquina c/Leñeros","Etra-Normal-Vea","32","7442","106120326","40.452987","-3.707941","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4727","2","1","C/ Beire, 42 esquina C/ San Raimundo, 50","Etra-Normal-Vea","32","7443","106120327","40.451753","-3.707646","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4728","2","1","C/ Olite, 48 esquina C/ Santa Juliana, 48","Etra-Normal-Vea","32","7444","106120328","40.45244","-3.706837","0"
"2","1624","Ayto. Madrid","2","1","Madrid","EUR","Europe/Madrid","1","2","1","SER","10","01 - Devas I","32","1","61","61 Bellas Vistas","40.452092703134","-3.7068777881969","15","4729","2","1","C/ Jerónima Llorente, 44 esquina C/ Paravicinos","Etra-Normal-Vea","32","7445","106120329","40.454033","-3.707679","0"
